bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
9057,97019,5710980,1529,2644183,0,0
8079,274148,16394337,1408,7820464,0,0
16579,383868,22367667,2824,10637395,0,0
10737,93874,5640963,1815,2600874,0,0
12656,361267,21511111,2228,10244029,0,0
14728,175805,10690166,2569,4959225,0,0
14498,368774,22184377,2651,10480020,0,0
13661,179261,10897516,2362,5077426,0,0
9059,182069,10579945,1566,4994235,0,0
11774,264356,16381996,2060,7759023,0,0
44371,177119,11109235,7733,5001417,0,0
13915,369811,21966791,2541,10520704,0,0
12730,280786,16893938,2204,8006509,0,0
14460,368870,21968108,2555,10328965,0,0
8380,77527,4772054,1425,2165584,0,0
4582,95332,5614667,705,2643283,0,0
14699,281175,16702084,2606,7950553,0,0
18694,367056,22381030,3375,10655800,0,0
13081,366068,22394693,2238,10571486,0,0
9532,168395,10486723,1566,4912857,0,0
10782,377373,21968405,1725,10419884,0,0
13008,176582,10515458,2123,4876532,0,0
3770,126499,6861251,595,3273653,0,0
3906,73917,4109098,590,1925442,0,0
10129,393185,21732789,1701,10335385,0,0
7447,97495,5706520,1236,2620738,0,0
13277,393370,21976433,2249,10367514,0,0
12689,281340,15992559,2138,7461110,0,0
9129,92601,5729163,1553,2658887,0,0
13150,347784,21958911,2386,10484798,0,0
16672,382867,21974897,2952,10394417,0,0
10122,100961,5734065,1712,2594105,0,0
9798,185614,10429947,1590,4902928,0,0
14146,268876,16900623,2403,7982729,0,0
15742,370323,21976559,2837,10464613,0,0
13436,182232,11028493,2342,5135260,0,0
14209,356914,22014976,2595,10492367,0,0
13462,177356,10873660,2282,5068651,0,0
13171,351587,21750354,2355,10313006,0,0
9409,82556,5632225,1609,2557121,0,0
51771,366731,22198798,8934,10263695,0,0
19825,362875,21493725,3429,10136803,0,0
17169,368909,21548937,2916,10173933,0,0
11993,357406,21730627,1993,10269664,0,0
14656,172942,10473023,2464,4938889,0,0
6742,174694,10954541,1214,5323240,0,0
14787,365650,21731006,2661,10321354,0,0
7581,176738,11251106,1282,5293512,0,0
12315,346462,21973862,2037,10442353,0,0
4965,65559,3996532,826,1875305,0,0
6219,296270,17498450,991,8372657,0,0
12821,379870,22183587,2160,10532516,0,0
15635,299302,16902081,2670,7885453,0,0
7823,401062,21969624,1349,10422763,0,0
12956,197737,11092329,2195,5152835,0,0
6613,92831,5195569,1165,2379779,0,0
10196,365193,22318837,1833,10775978,0,0
12120,164253,10901095,2056,5189846,0,0
12147,344027,22012882,2112,10627730,0,0
15665,390074,22395185,2696,10563638,0,0
7816,84989,5639555,1296,2623072,0,0
21444,367073,22206868,3672,10528071,0,0
20039,360987,21544592,3507,10209504,0,0
15532,365444,21553630,2770,10235357,0,0
18036,360001,21873973,3210,10346643,0,0
45461,336059,21763749,7952,10077472,0,0
19821,359232,21430202,3465,10101720,0,0
13309,221278,12965899,2298,6071696,0,0
18567,395293,22418589,3306,10595755,0,0
14427,190210,11305990,2452,5270020,0,0
6188,362675,21997328,1057,10482055,0,0
18046,387301,22403265,3230,10643059,0,0
13863,373337,22194693,2443,10515140,0,0
13234,338138,21667401,2270,10235162,0,0
10218,166421,10416894,1634,4862150,0,0
11132,373071,21736944,1815,10431793,0,0
8287,95589,5630806,1361,2603882,0,0
6316,174810,10453544,981,4930523,0,0
13772,390292,21949376,2395,10270922,0,0
14829,395117,21578058,2559,10139076,0,0
15833,499077,27353191,2632,12951009,0,0
4254,169508,10655128,619,5214616,0,0
16633,299597,16836460,2842,7874384,0,0
11074,348226,21921958,1983,10440947,0,0
11743,273078,16894606,1971,8136204,0,0
7654,93741,5625384,1349,2648164,0,0
7425,182067,11234698,1297,5338521,0,0
9149,92149,5632272,1583,2607472,0,0
10812,367892,21936938,1940,10420716,0,0
13905,171813,10716298,2289,5033789,0,0
49592,347828,21793216,8682,10041494,0,0
19540,369641,21491522,3429,10132776,0,0
21234,378290,21733462,3701,10304003,0,0
18181,385055,21571187,3123,10228653,0,0
14697,368522,21712455,2499,10265173,0,0
18274,271761,16046242,3186,7549738,0,0
12981,382566,22181757,2349,10505553,0,0
7988,364813,22388771,1361,10731005,0,0
11734,157562,10475556,1918,4878264,0,0
14709,358966,21980698,2491,10496877,0,0
9817,367857,21578813,1576,10336048,0,0
8551,187613,11089345,1397,5199496,0,0
11347,386866,22003654,1959,10358644,0,0
7420,104623,5614286,1303,2594793,0,0
14102,410306,22004959,2467,10381957,0,0
13511,385826,21983394,2174,10475302,0,0
15319,386861,21567162,2494,10181804,0,0
16614,339866,21787686,2768,10306700,0,0
14537,190719,11312632,2420,5277619,0,0
5132,202695,10911848,730,5216620,0,0
11771,289825,16896038,1953,8068199,0,0
4085,81692,4838542,742,2290725,0,0
14512,381674,22395615,2517,10672088,0,0
9828,195488,11108746,1732,5229415,0,0
8985,92049,5411710,1591,2489436,0,0
8345,266961,16812531,1448,8006985,0,0
6988,89070,5636974,1244,2609959,0,0
29433,161883,10883929,5357,4981373,0,0
33613,292148,16895200,5728,7738102,0,0
15871,364429,20753604,2866,9856589,0,0
12728,188968,11227671,2155,5286677,0,0
10782,373031,22190407,1966,10662481,0,0
16817,394504,22379216,3068,10607575,0,0
9733,183855,11114292,1623,5233554,0,0
5110,266331,16322566,805,7836221,0,0
11497,343165,22387867,2013,10669281,0,0
15802,364833,21558575,2647,10233635,0,0
10858,375848,22082782,1788,10533723,0,0
11859,179103,10409890,1954,4830812,0,0
10318,298528,16840196,1749,7997089,0,0
12192,206022,11333552,1985,5320693,0,0
14431,301990,16301672,2375,7691274,0,0
11826,386259,21807196,1998,10288614,0,0
12148,401337,22396800,2027,10576056,0,0
17708,370862,21508512,2961,10158897,0,0
17140,348134,21753721,2916,10243494,0,0
16319,399571,21562103,2729,10222380,0,0
17128,379623,21776466,2903,10348118,0,0
11355,175988,10367081,1782,4878983,0,0
14406,388776,22189757,2529,10618049,0,0
14428,271280,16900357,2561,7962084,0,0
16898,358602,21975897,2949,10454983,0,0
47874,371937,22426326,8057,10459051,0,0
10035,56911,3409043,1746,1488578,0,0
7322,313843,17919712,1301,8652171,0,0
14187,377995,22394093,2395,10715279,0,0
13649,174414,10433910,2392,4912487,0,0
17563,402044,22189257,3175,10489208,0,0
10726,176052,10783453,1734,5062714,0,0
4021,172675,10831541,588,5175778,0,0
13243,354685,22403395,2325,10669668,0,0
16557,348499,22189723,2900,10489360,0,0
13983,373133,21507424,2297,10229768,0,0
10600,373640,21562672,1743,10290431,0,0
8872,199392,11223565,1511,5287951,0,0
15096,397683,21973718,2550,10440793,0,0
15341,403854,22238801,2646,10560595,0,0
13064,384275,21959386,2264,10417137,0,0
17323,390695,21576698,2946,10196065,0,0
19470,350788,21754551,3358,10311635,0,0
18321,369985,21565769,3142,10192794,0,0
