bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
29238,48957,5737175,4924,2787725,0,0
16218,46989,5156449,2818,2689358,0,0
16019,51250,5650307,2768,2967570,0,0
25503,48872,5737846,4265,2863596,0,0
28011,98663,10908354,4859,5804859,0,0
46125,200909,21921668,8361,11853544,0,0
37762,99144,11145246,6604,5758767,0,0
52815,202612,22183364,9546,11867156,0,0
25359,49364,5742313,4321,2859927,0,0
102891,169427,22025973,18071,10699543,0,0
76355,51190,5790793,15628,1877383,0,0
136698,83464,10840293,24208,3155311,0,0
84759,47841,5770837,11152,2016825,0,0
226678,116392,10874587,41929,2976305,0,0
122651,48362,5802267,23098,2087494,0,0
170412,71759,10729272,27299,4673440,0,0
193322,241805,21764645,33611,11054305,0,0
100547,349326,22418546,17886,10461172,0,0
56255,214584,11148400,9478,6419935,0,0
97505,400757,21951634,17704,9818023,0,0
50147,176898,10898729,8719,5181273,0,0
95536,394420,22207405,16597,11716866,0,0
95548,362193,22397108,16852,10975368,0,0
54319,154527,10881693,9629,4562705,0,0
92556,377955,21978855,16648,11015456,0,0
35057,101192,5760096,5939,2942727,0,0
26270,89829,5173394,4632,2135444,0,0
77770,431925,22289441,14353,10982357,0,0
68467,170108,10956004,12086,5017434,0,0
97128,374433,21968253,17561,10809736,0,0
33359,119361,5753335,5948,2673775,0,0
44418,209889,10854181,7905,5403852,0,0
30991,48268,5743830,5237,2751299,0,0
46013,208444,10872755,8264,5353259,0,0
34711,121150,5756462,5987,2678781,0,0
49750,179831,10865622,8924,5306410,0,0
43561,188005,10736730,7996,5332898,0,0
31891,122096,5729172,5685,2687424,0,0
43924,214190,11092305,7833,5536368,0,0
31247,47914,5748654,5350,2738945,0,0
46526,210370,10890382,8386,5362085,0,0
77304,405333,21909524,14127,11119285,0,0
55614,198786,11024921,9910,5295728,0,0
57455,201361,11103239,10306,5273210,0,0
87469,418180,21978752,16000,10936493,0,0
35051,48794,5671010,6123,2621161,0,0
42415,202955,10835337,7716,5398473,0,0
53802,217354,11225914,9538,5443270,0,0
75162,432156,22296550,13936,11339619,0,0
54534,207667,11166909,9527,5385553,0,0
88465,381779,21998926,16081,10950593,0,0
38283,84233,5760534,6795,2584176,0,0
45718,205658,10856476,8343,5335430,0,0
55318,220181,11339310,9812,5463204,0,0
39243,192696,10880134,7097,5498983,0,0
40015,67156,5759095,7088,2546490,0,0
45820,206534,10859187,8247,5363855,0,0
84461,421389,22306049,15518,11204203,0,0
51719,200436,11252930,8999,5519258,0,0
95952,377174,21980292,17359,10808891,0,0
39203,80702,5756220,6939,2572021,0,0
88310,418881,21952286,15784,10983013,0,0
32848,47048,5754562,5478,2728824,0,0
47968,211344,10837306,8541,5329897,0,0
92036,400175,21964710,16546,10925532,0,0
60670,208048,11354673,10622,5424304,0,0
61140,199529,10945588,10511,5175178,0,0
40366,208032,10621895,7016,5359343,0,0
74274,396745,22144105,13314,11376539,0,0
60035,186283,11054785,10643,5236032,0,0
94976,382236,22181579,17071,11012444,0,0
100049,384083,22243538,17755,10985655,0,0
58850,189995,11182729,10220,5374318,0,0
86461,408999,21991635,15461,11098804,0,0
29237,139688,5755456,5000,2815737,0,0
50162,182939,10860190,8899,5336412,0,0
39287,82297,5761397,6958,2585425,0,0
47579,195621,10855679,8479,5394546,0,0
37878,92351,5767974,6491,2653189,0,0
47347,194633,10874288,8410,5422439,0,0
