bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
153394,65331,5696707,26462,261642,0,1
240375,191265,10489511,44265,890181,0,1
382629,527888,21422561,81112,2424828,0,1
254179,204133,11080377,46814,887096,0,1
161067,313216,10720489,36771,1456615,0,1
389384,278392,16976423,73383,1217236,0,1
291057,470265,16967166,63217,1808346,0,1
400498,507751,21437417,85623,2025805,0,1
250448,228422,11390294,47537,945138,0,1
177071,306105,10886054,40107,1214507,0,1
171651,314787,11024998,40794,1120728,0,1
343469,343360,16881834,70067,1283502,0,1
327717,396500,16968638,66543,1664156,0,1
413209,469149,21443141,86200,1921196,0,1
254528,237403,11385210,48337,835004,0,1
184770,287055,10786875,40499,1127086,0,1
167735,316196,10944845,38802,1305227,0,1
393399,276157,16973692,74184,1157798,0,1
294421,461276,16970148,65037,1696149,0,1
272817,467407,16976646,64721,1395627,0,1
342395,589192,21417349,81366,1858192,0,1
182301,306069,11164143,42087,1002991,0,1
94230,144154,5389102,21003,436940,0,1
262081,472161,16876119,64085,1410484,0,1
329497,369055,16972271,69340,1274232,0,1
346145,372131,16974118,69354,1344743,0,1
332200,616050,21443055,80369,1945618,0,1
98154,144148,5440826,21179,456911,0,1
170971,304606,10855588,40250,1072167,0,1
480630,418050,22220687,94583,1622638,0,1
261201,506920,16965326,59582,2219780,0,1
402489,268975,16975806,74918,1165515,0,1
99410,163766,5794018,20865,732558,0,1
161132,325356,10885683,38095,1384450,0,1
353705,343620,16981946,70719,1410776,0,1
124024,59348,4617456,21830,236414,0,1
181367,328093,11382000,40663,1334081,0,1
166823,318698,11094684,39879,1238945,0,1
488580,407698,22183310,94817,1567523,0,1
334434,615391,21508430,78546,2300359,0,1
347185,341382,16876197,69789,1412298,0,1
399156,581003,22444758,85330,2366107,0,1
195600,270174,10899812,42389,1117720,0,1
288802,135223,11104128,51167,574720,0,1
189206,320558,11251302,41813,1256260,0,1
87473,161005,5675654,20958,606678,0,1
406400,496434,21453795,86214,1931820,0,1
252250,227223,11395355,47417,1004222,0,1
211843,273360,10882971,41226,1227671,0,1
486818,409814,21972034,93706,1663691,0,1
169845,295627,10473634,37703,1259809,0,1
165927,304389,10713871,39846,1036530,0,1
187414,305026,11238828,43152,1048827,0,1
520442,406840,22285031,96350,1467362,0,1
212705,286098,11392366,45828,908469,0,1
174463,310117,11050037,42336,964455,0,1
99924,155269,5788817,22201,531747,0,1
171879,300917,10852094,41395,945864,0,1
274960,468773,16969322,65484,1394152,0,1
337829,601305,21452101,82078,1796030,0,1
277362,468140,16843488,66092,1363639,0,1
175904,286560,10643682,40938,898399,0,1
351108,616973,21995793,84950,1807066,0,1
274193,471042,16969534,65345,1394098,0,1
272284,471947,16965297,65083,1371549,0,1
187153,313022,11385990,43698,910197,0,1
334152,624874,21902811,82610,1753935,0,1
180310,316176,11165406,42763,922537,0,1
348387,628357,21989447,84772,1781158,0,1
271973,470542,16992840,64871,1374379,0,1
354643,616971,21975750,85391,1759416,0,1
102764,150549,5792430,22570,458241,0,1
164248,284913,10400670,39588,838155,0,1
273985,470625,16983726,65144,1382842,0,1
168151,305109,10833402,40999,902182,0,1
318926,381917,16961208,69077,1192893,0,1
265138,194543,11296638,49175,692441,0,1
168651,302751,10834689,40838,894771,0,1
268111,477629,16972331,63744,1521893,0,1
277396,461086,16986636,64709,1407226,0,1
170372,301609,10867874,40619,957620,0,1
352757,628106,22411107,84647,1885893,0,1
183859,304820,11190078,41947,1051016,0,1
183918,253187,10601474,40923,1041751,0,1
456085,475811,22375881,90959,1947162,0,1
461611,454448,22410316,92106,1881052,0,1
114989,140498,5775376,22619,634850,0,1
164119,327140,11067536,38889,1497048,0,1
250100,196880,11254195,48250,838301,0,1
148997,70113,5640324,25968,314683,0,1
264063,491743,16963638,60286,2228989,0,1
417366,252077,16985558,75798,1089600,0,1
242880,468528,15858911,55254,2101677,0,1
242121,204395,11211888,47365,850032,0,1
423722,538797,22185335,88978,1926280,0,1
170894,282479,10316066,39426,875825,0,1
341123,632305,22288531,84098,1843587,0,1
351412,623472,22194349,84512,1925258,0,1
185627,294384,10943402,40958,1128169,0,1
284987,129378,10982570,51099,520279,0,1
214770,284055,11235903,42748,1276085,0,1
442367,438534,21526282,87978,1934747,0,1
277970,463892,16959063,61083,2139729,0,1
487547,439188,22417558,93837,1910584,0,1
426074,499367,22240898,87603,2149353,0,1
229284,246251,11111665,44863,961335,0,1
166453,316286,10953506,40078,1120096,0,1
343784,609594,21539486,81691,2010312,0,1
272678,469060,16976566,64373,1509644,0,1
445044,488372,22439307,93701,1547569,0,1
223503,232957,10789309,44695,740659,0,1
171554,305548,11093991,41779,924405,0,1
270040,465795,16965844,64476,1371991,0,1
330598,600261,21439909,80779,1735556,0,1
185113,318322,11385997,43289,1004050,0,1
176371,303049,10872362,41526,938416,0,1
348352,630507,21993802,84018,1804565,0,1
98141,154772,5651203,22058,452345,0,1
