bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
380523,216348,21569430,69820,4018131,0,1
474088,162860,16967334,77216,1496686,0,1
538820,193231,21419302,92308,3243996,0,1
251296,101734,11386168,49489,1994268,0,1
240292,97307,10872861,47087,1901058,0,1
239887,98906,11055292,47966,1935674,0,1
483224,207062,22420134,94486,3949592,0,1
202128,114057,11396594,36435,2090694,0,1
188071,110899,11044991,35243,2035510,0,1
294656,169678,16975410,54106,3118156,0,1
366739,212006,21416826,68171,3931090,0,1
468546,166094,16983362,72867,2031310,0,1
688344,207447,21674470,101118,1988336,0,1
166933,53871,5822730,24054,770339,0,1
386502,155760,21426454,73776,3700977,0,1
190566,77002,10879287,37236,1749164,0,1
372271,153162,21534797,74046,3448031,0,1
385910,160021,22345508,77325,3604727,0,1
401545,216548,22442410,73786,4067193,0,1
189852,110346,11085370,35332,2041155,0,1
385492,220027,22211562,70865,4093606,0,1
185614,103048,10458058,33504,1928372,0,1
239745,105757,10575270,42452,1486693,0,1
491932,161268,16965346,79239,1319102,0,1
507597,195305,22433822,93132,3992494,0,1
460181,189330,21468408,92009,3681867,0,1
488386,199829,22430461,97111,3889043,0,1
398254,221256,21470512,72643,4067961,0,1
188342,106752,10438190,34127,1967925,0,1
194347,112700,11043636,36006,2085440,0,1
299340,170230,16968434,54820,3168321,0,1
414993,170365,16979538,68262,2442507,0,1
686753,206403,21418383,100815,1981048,0,1
334437,102401,11182494,48021,1630085,0,1
200210,80968,11319539,38904,1823672,0,1
200501,82358,11385881,39617,1847635,0,1
187531,78415,10830096,37704,1765971,0,1
199115,81407,11243318,39121,1814340,0,1
96853,40725,5637839,19581,917410,0,1
295126,122435,16969181,58708,2743519,0,1
379495,187037,21418507,72691,3719114,0,1
200426,114694,11379535,36579,2107734,0,1
103935,57814,5798130,18508,1063135,0,1
87240,50686,5064010,16208,924888,0,1
96775,55775,5650329,18036,1039145,0,1
278273,158038,15926890,50811,2916140,0,1
95814,55437,5639420,17907,1036558,0,1
386745,167899,16978642,66699,2339697,0,1
591238,197328,21429436,94853,2491838,0,1
128516,50887,5778759,24610,996974,0,1
475434,194656,21695797,94337,3778050,0,1
227178,91636,10416870,44408,1786948,0,1
227439,93678,10551519,45367,1831050,0,1
456196,216530,22423991,87322,4049798,0,1
372500,217674,21464998,69647,4000025,0,1
392889,226655,22437575,72531,4188126,0,1
196911,108972,10871738,35349,2047590,0,1
664267,212827,21556022,100239,2227428,0,1
668633,200970,21391658,95766,2604082,0,1
202286,81471,11388344,39149,1833348,0,1
376213,155582,21740881,74924,3484111,0,1
386531,159634,22404172,77030,3595593,0,1
197606,80534,11196895,38670,1814031,0,1
181977,75857,10507867,36523,1698054,0,1
309701,169976,16984744,56120,3133509,0,1
184028,108181,10823717,34385,1989184,0,1
296835,170700,16979850,54457,3139753,0,1
389946,220916,22443979,71505,4134313,0,1
289109,103757,10878042,47500,1091818,0,1
315309,103422,11092459,50817,858459,0,1
406755,147859,16970428,69725,2796187,0,1
455780,187348,21409650,91277,3659581,0,1
244223,98532,11166530,47984,1935223,0,1
485993,199706,22208946,96025,3869673,0,1
105875,58207,5794746,18624,1072261,0,1
384662,222275,21986005,70919,4076458,0,1
393591,226741,22416094,72450,4183758,0,1
439862,214489,21456340,77380,3560055,0,1
181540,55217,5790950,26879,549088,0,1
340204,103353,10899342,50341,1010994,0,1
339719,102145,10789957,49766,998548,0,1
500252,177196,22354638,83575,3539460,0,1
197878,79692,11165562,38611,1813158,0,1
190217,79005,11085547,38338,1803481,0,1
293701,120340,16984708,58203,2725949,0,1
100949,40954,5704971,19728,928200,0,1
387570,163566,21893040,76613,3595903,0,1
295742,170191,16974062,54380,3130659,0,1
296232,170349,16996744,54444,3148350,0,1
94686,51688,5163314,16576,943709,0,1
288851,166076,16841238,53812,3098206,0,1
103156,55909,5661347,18191,1036755,0,1
255092,108728,11230573,44610,1481234,0,1
618991,205123,21414066,99073,2123457,0,1
523318,178203,11388949,88137,1003659,0,1
590767,223287,21729526,109286,3451117,0,1
492186,200459,22430110,97826,3919902,0,1
239512,95995,10873108,46784,1886241,0,1
445184,204676,21560082,84413,3892386,0,1
295658,169840,16974265,54593,3139490,0,1
370649,214081,21422139,68906,3982801,0,1
197936,110906,11163769,36159,2094332,0,1
577947,219301,22216442,92599,2932675,0,1
547913,164920,16983098,80502,1604089,0,1
517699,178128,21979698,84429,3387116,0,1
385847,159313,22432690,77236,3605383,0,1
201818,81427,11381406,39416,1850907,0,1
183929,75682,10676872,36466,1710806,0,1
377603,157559,22140016,76341,3549538,0,1
118212,57782,5790458,19298,1093299,0,1
377518,220769,21884588,70887,4093292,0,1
198706,110949,11204206,35867,2068039,0,1
379737,215798,21947689,70181,4059294,0,1
106633,57314,5801158,18850,1086966,0,1
298523,107115,10821195,49943,1074676,0,1
485316,158976,16982058,75932,1933114,0,1
369859,148579,16986078,72377,2918001,0,1
232065,94961,10859542,46340,1870386,0,1
364956,148064,16966573,72233,2902720,0,1
367664,149033,16980008,72812,2932860,0,1
206083,106720,10871563,37597,1996762,0,1
293118,169141,16966932,54158,3115748,0,1
296871,169643,16990206,54433,3144502,0,1
185906,107501,10855927,34742,2011890,0,1
316777,167207,16985666,57472,2992562,0,1
538415,162975,16932364,79401,1581963,0,1
673660,206086,21971050,98476,2512152,0,1
306136,121323,16965866,58390,2747428,0,1
366500,153216,21416723,73815,3439275,0,1
199740,81609,11381859,39290,1836302,0,1
183078,75766,10522125,36434,1687890,0,1
189643,78311,10899054,37615,1760370,0,1
392935,200020,22208085,73098,3909911,0,1
298506,172208,16990445,54825,3164938,0,1
291695,164714,16371806,52966,3044437,0,1
394153,217777,21517418,72572,3914198,0,1
311403,101943,10566107,50055,841662,0,1
318091,104209,10788629,51191,860604,0,1
378291,144419,16981090,68277,3153752,0,1
230730,95067,10846960,46175,1859640,0,1
366449,149419,16973458,72468,2911053,0,1
494471,199991,22442006,97270,3892267,0,1
193892,110430,10885294,35487,2030169,0,1
383053,221548,22204504,70587,4059944,0,1
182322,103106,10411525,33128,1904452,0,1
388800,221053,22227458,71261,4107906,0,1
499987,167061,16979542,76513,1885353,0,1
546452,164395,16965794,80303,1597622,0,1
507446,179519,22470262,83380,3457917,0,1
383725,161985,22428216,76741,3587791,0,1
187362,79064,10882517,37400,1751246,0,1
386073,162637,22217622,77071,3590844,0,1
403416,198258,22453750,75737,3924409,0,1
204370,115870,11382582,37204,2138213,0,1
194157,112895,11076592,36245,2096353,0,1
294608,167208,16980137,53942,3108928,0,1
417893,209445,21410770,75379,3485539,0,1
339736,111565,11391718,54680,918765,0,1
227867,94573,10512862,43884,1888795,0,1
234191,99594,11041617,46306,1985416,0,1
166857,69233,7630679,32190,1362950,0,1
194664,83240,9219200,38597,1651145,0,1
415683,201458,21419423,77787,3983773,0,1
191009,109969,11201653,34308,2166343,0,1
96506,54780,5563704,17137,1075538,0,1
185890,108229,10957677,33845,2125708,0,1
185019,103709,10665838,32759,2067420,0,1
185277,107146,11022096,33844,2152548,0,1
637516,219509,22694354,97657,2653805,0,1
197515,61337,6242561,29404,580130,0,1
